carrier_code,flight_number,tail_number,destination_airport,scheduled_elapsed_time_(minutes),actual_elapsed_time_(minutes),departure_delay_(minutes),taxi-out_time_(minutes),date_mm/dd/yyyy,actual_departure_time,scheduled_departure_time,wheels-off_time,DepDel15
AA,2562,N913AN,ORD,141,140,25,33,2019-10-01,2019-10-01 11:20:00,2019-10-01 10:55:00,2019-10-01 11:53:00,1
AA,426,N758US,CLT,82,63,84,17,2019-11-01,2019-11-01 12:23:00,2019-11-01 10:59:00,2019-11-01 12:40:00,1
AA,1309,N826NN,DFW,151,144,43,18,2019-01-13,2019-01-13 15:01:00,2019-01-13 14:18:00,2019-01-13 15:19:00,1
AA,1947,N710UW,CLT,83,82,23,28,2019-01-13,2019-01-13 15:56:00,2019-01-13 15:33:00,2019-01-13 16:24:00,1
AA,1618,N8009T,MIA,119,103,45,13,2019-01-14,2019-01-14 21:01:00,2019-01-14 20:16:00,2019-01-14 21:14:00,1
AA,2778,N936AN,DFW,149,140,15,15,2019-01-14,2019-01-14 13:01:00,2019-01-14 12:46:00,2019-01-14 13:16:00,1
AA,1828,N110UW,PHL,118,103,24,10,2019-01-15,2019-01-15 05:45:00,2019-01-15 05:21:00,2019-01-15 05:55:00,1
AA,1991,N963UW,PHL,131,115,17,13,2019-01-15,2019-01-15 18:20:00,2019-01-15 18:03:00,2019-01-15 18:33:00,1
AA,1991,N963UW,PHL,131,120,19,27,2019-01-17,2019-01-17 18:22:00,2019-01-17 18:03:00,2019-01-17 18:49:00,1
AA,2344,N935AN,MIA,119,119,24,26,2019-01-17,2019-01-17 07:54:00,2019-01-17 07:30:00,2019-01-17 08:20:00,1
AA,426,N835AW,CLT,82,82,25,35,2019-01-18,2019-01-18 11:24:00,2019-01-18 10:59:00,2019-01-18 11:59:00,1
AA,1662,N945UW,LGA,137,142,79,15,2019-01-18,2019-01-18 20:32:00,2019-01-18 19:13:00,2019-01-18 20:47:00,1
AA,2778,N909AN,DFW,149,151,16,16,2019-01-18,2019-01-18 13:02:00,2019-01-18 12:46:00,2019-01-18 13:18:00,1
AA,1574,N842NN,ORD,139,155,48,37,2019-01-19,2019-01-19 08:09:00,2019-01-19 07:21:00,2019-01-19 08:46:00,1
AA,1691,N830AW,ORD,141,143,171,30,2019-01-19,2019-01-19 20:59:00,2019-01-19 18:08:00,2019-01-19 21:29:00,1
AA,2091,N12028,MIA,124,113,212,16,2019-01-19,2019-01-19 21:43:00,2019-01-19 18:11:00,2019-01-19 21:59:00,1
AA,681,N166NN,CLT,77,70,19,19,2019-01-20,2019-01-20 12:45:00,2019-01-20 12:26:00,2019-01-20 13:04:00,1
AA,1567,N309PC,DFW,153,129,87,14,2019-01-20,2019-01-20 09:26:00,2019-01-20 07:59:00,2019-01-20 09:40:00,1
AA,1618,N9012,MIA,119,106,17,14,2019-01-20,2019-01-20 20:33:00,2019-01-20 20:16:00,2019-01-20 20:47:00,1
AA,242,N858NN,DFW,153,140,28,8,2019-01-21,2019-01-21 18:54:00,2019-01-21 18:26:00,2019-01-21 19:02:00,1
AA,426,N839AW,CLT,82,64,110,14,2019-01-21,2019-01-21 12:49:00,2019-01-21 10:59:00,2019-01-21 13:03:00,1
AA,1574,N958NN,ORD,139,141,79,22,2019-01-21,2019-01-21 08:40:00,2019-01-21 07:21:00,2019-01-21 09:02:00,1
AA,1662,N961UW,LGA,137,149,65,22,2019-01-21,2019-01-21 20:18:00,2019-01-21 19:13:00,2019-01-21 20:40:00,1
AA,2737,N870NN,LAX,303,307,155,15,2019-01-21,2019-01-21 13:42:00,2019-01-21 11:07:00,2019-01-21 13:57:00,1
AA,1574,N934NN,ORD,139,131,21,14,2019-01-22,2019-01-22 07:42:00,2019-01-22 07:21:00,2019-01-22 07:56:00,1
AA,1662,N967UW,LGA,137,126,28,20,2019-01-22,2019-01-22 19:41:00,2019-01-22 19:13:00,2019-01-22 20:01:00,1
AA,1691,N747UW,ORD,141,127,219,23,2019-01-22,2019-01-22 21:47:00,2019-01-22 18:08:00,2019-01-22 22:10:00,1
AA,2091,N766US,MIA,124,109,39,11,2019-01-22,2019-01-22 18:50:00,2019-01-22 18:11:00,2019-01-22 19:01:00,1
AA,2562,N962AN,ORD,141,146,258,22,2019-01-22,2019-01-22 15:13:00,2019-01-22 10:55:00,2019-01-22 15:35:00,1
AA,681,N747UW,CLT,77,83,17,22,2019-01-23,2019-01-23 12:43:00,2019-01-23 12:26:00,2019-01-23 13:05:00,1
AA,1662,N956UW,LGA,137,132,15,27,2019-01-23,2019-01-23 19:28:00,2019-01-23 19:13:00,2019-01-23 19:55:00,1
AA,2562,N934NN,ORD,141,150,36,11,2019-01-23,2019-01-23 11:31:00,2019-01-23 10:55:00,2019-01-23 11:42:00,1
AA,1618,N808AW,MIA,119,124,129,22,2019-01-24,2019-01-24 22:25:00,2019-01-24 20:16:00,2019-01-24 22:47:00,1
AA,1662,N953UW,LGA,137,122,131,20,2019-01-24,2019-01-24 21:24:00,2019-01-24 19:13:00,2019-01-24 21:44:00,1
AA,1691,N747UW,ORD,141,123,78,15,2019-01-24,2019-01-24 19:26:00,2019-01-24 18:08:00,2019-01-24 19:41:00,1
AA,1991,N944UW,PHL,131,135,22,36,2019-01-24,2019-01-24 18:25:00,2019-01-24 18:03:00,2019-01-24 19:01:00,1
AA,2091,N768US,MIA,124,136,51,18,2019-01-24,2019-01-24 19:02:00,2019-01-24 18:11:00,2019-01-24 19:20:00,1
AA,2619,N907NN,DFW,153,159,68,31,2019-01-24,2019-01-24 10:40:00,2019-01-24 09:32:00,2019-01-24 11:11:00,1
AA,1177,N879NN,MIA,120,147,119,26,2019-01-25,2019-01-25 08:44:00,2019-01-25 06:45:00,2019-01-25 09:10:00,1
AA,1618,N9016,MIA,119,120,79,23,2019-01-25,2019-01-25 21:35:00,2019-01-25 20:16:00,2019-01-25 21:58:00,1
AA,1991,N949UW,PHL,131,110,51,15,2019-01-25,2019-01-25 18:54:00,2019-01-25 18:03:00,2019-01-25 19:09:00,1
AA,610,N139AN,MIA,119,107,15,16,2019-01-26,2019-01-26 20:31:00,2019-01-26 20:16:00,2019-01-26 20:47:00,1
AA,1574,N963NN,ORD,139,123,39,14,2019-01-26,2019-01-26 08:00:00,2019-01-26 07:21:00,2019-01-26 08:14:00,1
AA,1691,N711UW,ORD,141,142,51,27,2019-01-26,2019-01-26 18:59:00,2019-01-26 18:08:00,2019-01-26 19:26:00,1
AA,242,N903NN,DFW,153,138,19,16,2019-01-27,2019-01-27 18:45:00,2019-01-27 18:26:00,2019-01-27 19:01:00,1
AA,1618,N9013A,MIA,119,152,156,47,2019-01-27,2019-01-27 22:52:00,2019-01-27 20:16:00,2019-01-27 23:39:00,1
AA,681,N721UW,CLT,77,62,106,10,2019-01-28,2019-01-28 14:12:00,2019-01-28 12:26:00,2019-01-28 14:22:00,1
AA,1907,N723UW,PHL,122,115,49,14,2019-01-28,2019-01-28 08:16:00,2019-01-28 07:27:00,2019-01-28 08:30:00,1
AA,2562,N928NN,ORD,141,123,198,12,2019-01-28,2019-01-28 14:13:00,2019-01-28 10:55:00,2019-01-28 14:25:00,1
AA,444,N662AW,DFW,151,144,45,16,2019-01-30,2019-01-30 17:09:00,2019-01-30 16:24:00,2019-01-30 17:25:00,1
AA,1662,N945UW,LGA,137,155,60,34,2019-01-30,2019-01-30 20:13:00,2019-01-30 19:13:00,2019-01-30 20:47:00,1
AA,1907,N717UW,PHL,122,102,24,9,2019-01-30,2019-01-30 07:51:00,2019-01-30 07:27:00,2019-01-30 08:00:00,1
AA,2737,N981NN,LAX,303,299,18,26,2019-01-30,2019-01-30 11:25:00,2019-01-30 11:07:00,2019-01-30 11:51:00,1
AA,681,N732US,CLT,77,61,266,13,2019-01-31,2019-01-31 16:52:00,2019-01-31 12:26:00,2019-01-31 17:05:00,1
AA,242,N897NN,DFW,153,141,15,16,2019-01-02,2019-01-02 18:41:00,2019-01-02 18:26:00,2019-01-02 18:57:00,1
AA,401,N710UW,PHL,129,127,46,22,2019-01-02,2019-01-02 16:09:00,2019-01-02 15:23:00,2019-01-02 16:31:00,1
AA,426,N753US,CLT,82,70,24,13,2019-01-02,2019-01-02 11:23:00,2019-01-02 10:59:00,2019-01-02 11:36:00,1
AA,440,N665AW,PHX,258,225,30,11,2019-01-02,2019-01-02 17:32:00,2019-01-02 17:02:00,2019-01-02 17:43:00,1
AA,444,N658AW,DFW,151,154,21,19,2019-01-02,2019-01-02 16:45:00,2019-01-02 16:24:00,2019-01-02 17:04:00,1
AA,649,N662AW,DFW,152,161,17,27,2019-01-02,2019-01-02 20:10:00,2019-01-02 19:53:00,2019-01-02 20:37:00,1
AA,799,N816AW,CLT,77,70,39,15,2019-01-02,2019-01-02 09:32:00,2019-01-02 08:53:00,2019-01-02 09:47:00,1
AA,1662,N954UW,LGA,137,123,34,11,2019-01-02,2019-01-02 19:47:00,2019-01-02 19:13:00,2019-01-02 19:58:00,1
AA,1691,N767UW,ORD,148,124,77,16,2019-01-02,2019-01-02 18:34:00,2019-01-02 17:17:00,2019-01-02 18:50:00,1
AA,2091,N839AW,MIA,124,117,76,18,2019-01-02,2019-01-02 19:27:00,2019-01-02 18:11:00,2019-01-02 19:45:00,1
AA,2828,N825NN,MIA,117,108,55,15,2019-01-02,2019-01-02 12:43:00,2019-01-02 11:48:00,2019-01-02 12:58:00,1
AA,799,N803AW,CLT,77,63,24,12,2019-02-02,2019-02-02 09:23:00,2019-02-02 08:59:00,2019-02-02 09:35:00,1
AA,1177,N951AA,MIA,120,107,179,18,2019-02-02,2019-02-02 09:44:00,2019-02-02 06:45:00,2019-02-02 10:02:00,1
AA,1991,N950UW,PHL,131,123,19,22,2019-03-02,2019-03-02 18:22:00,2019-03-02 18:03:00,2019-03-02 18:44:00,1
AA,2573,N107NN,LAX,308,289,27,15,2019-03-02,2019-03-02 18:12:00,2019-03-02 17:45:00,2019-03-02 18:27:00,1
AA,242,N907AN,DFW,153,141,15,21,2019-05-02,2019-05-02 18:41:00,2019-05-02 18:26:00,2019-05-02 19:02:00,1
AA,476,N664AW,PHX,257,243,20,12,2019-05-02,2019-05-02 11:48:00,2019-05-02 11:28:00,2019-05-02 12:00:00,1
AA,1691,N744P,ORD,141,141,97,16,2019-05-02,2019-05-02 19:45:00,2019-05-02 18:08:00,2019-05-02 20:01:00,1
AA,2717,N9013A,MIA,122,102,16,13,2019-05-02,2019-05-02 09:34:00,2019-05-02 09:18:00,2019-05-02 09:47:00,1
AA,476,N118US,PHX,257,277,22,19,2019-06-02,2019-06-02 11:50:00,2019-06-02 11:28:00,2019-06-02 12:09:00,1
AA,1691,N762US,ORD,141,136,53,15,2019-06-02,2019-06-02 19:01:00,2019-06-02 18:08:00,2019-06-02 19:16:00,1
AA,2562,N935NN,ORD,141,144,16,28,2019-06-02,2019-06-02 11:11:00,2019-06-02 10:55:00,2019-06-02 11:39:00,1
AA,841,N957UW,LGA,137,131,25,15,2019-07-02,2019-07-02 07:23:00,2019-07-02 06:58:00,2019-07-02 07:38:00,1
AA,1309,N923NN,DFW,151,158,119,15,2019-07-02,2019-07-02 16:17:00,2019-07-02 14:18:00,2019-07-02 16:32:00,1
AA,1662,N957UW,LGA,137,153,28,32,2019-07-02,2019-07-02 19:41:00,2019-07-02 19:13:00,2019-07-02 20:13:00,1
AA,2778,N814NN,DFW,149,156,71,22,2019-07-02,2019-07-02 13:57:00,2019-07-02 12:46:00,2019-07-02 14:19:00,1
AA,2828,N949NN,MIA,117,116,21,14,2019-07-02,2019-07-02 12:09:00,2019-07-02 11:48:00,2019-07-02 12:23:00,1
